# Experiment Summary

## Study Overview

| Metric | Value | Unit | Notes |
|---|---:|---|---|
| Study number | 27 | number | |
| Published date | 2026-09-11 | date | |
| Model | gpt-4o | text | |
| Brands | 9 | number | |
| Total claims | 40 | number | |
| Checkable claims | 34 | number | |
| Descriptive claims | 6 | number | |
| Confirmed claims | 33 | number | |
| Contradicted claims | 1 | number | |
| New API calls | 0 | number | |
| Brand Accuracy Score (BAS) | 97.1% | percent | 33 confirmed of 34 checkable claims |
| Coverage Depth Index (CDI) | 61.1% | percent | 44 covered brand-category pairs of 72 possible |
| Covered pairs | 44 | number | |
| Possible pairs | 72 | number | |

---

## Brand Accuracy Score

BAS measures the percentage of checkable factual claims that were confirmed through independent verification.

| Brand | Checkable Claims | Confirmed Claims | BAS |
|---|---:|---:|---:|
| Bellroy | 4 | 3 | 75.0% |
| Boll & Branch | 4 | 4 | 100.0% |
| Branch | 4 | 4 | 100.0% |
| Caraway | 3 | 3 | 100.0% |
| Onyx Coffee Lab | 4 | 4 | 100.0% |
| Peak Design | 5 | 5 | 100.0% |
| Rumpl | 3 | 3 | 100.0% |
| Wild One | 4 | 4 | 100.0% |
| Zigpoll | 3 | 3 | 100.0% |

### Overall BAS

**33 of 34 checkable claims were confirmed.**

**BAS = 97.1%**

---

## Coverage Depth Index

CDI measures how much of the predefined attribute space the model covered without being explicitly prompted for each individual topic.

| Brand | Categories Covered | Possible Categories | CDI |
|---|---:|---:|---:|
| Bellroy | 7 | 8 | 87.5% |
| Boll & Branch | 6 | 8 | 75.0% |
| Wild One | 6 | 8 | 75.0% |
| Branch | 6 | 8 | 75.0% |
| Peak Design | 5 | 8 | 62.5% |
| Rumpl | 5 | 8 | 62.5% |
| Onyx Coffee Lab | 4 | 8 | 50.0% |
| Caraway | 3 | 8 | 37.5% |
| Zigpoll | 2 | 8 | 25.0% |

### Overall CDI

**44 of 72 possible brand-category pairs were covered.**

**CDI = 61.1%**

---

## Category Coverage

| Category | Brands Covered | Total Brands | Coverage |
|---|---:|---:|---:|
| Sustainability / Ethics | 8 | 9 | 88.9% |
| Materials | 7 | 9 | 77.8% |
| Pricing / Positioning | 7 | 9 | 77.8% |
| Design / Functionality | 7 | 9 | 77.8% |
| Competitor Comparison | 5 | 9 | 55.6% |
| Business Model / Distribution | 4 | 9 | 44.4% |
| Warranty / Returns | 3 | 9 | 33.3% |
| Certifications / Awards | 3 | 9 | 33.3% |

---

## Study Totals

| Metric | Result |
|---|---:|
| Brands tested | 9 |
| Total claims collected | 40 |
| Checkable claims | 34 |
| Descriptive claims | 6 |
| Confirmed claims | 33 |
| Contradicted claims | 1 |
| Brand Accuracy Score | 97.1% |
| Possible brand-category pairs | 72 |
| Covered brand-category pairs | 44 |
| Coverage Depth Index | 61.1% |
| New API calls | 0 |

---

## Key Finding

The model was highly accurate about the information it volunteered.

The larger gap was **what it did not volunteer**.

High factual accuracy does not necessarily mean a deep representation of a brand.

A model can be:

**accurate but incomplete.**
