term,definition,url
AI Commerce Score™,"The single 0 to 100 number measuring how well AI shopping agents can understand, trust, and recommend a store.",https://atomfoundry.dev/vocabulary/ai-commerce-score
Recommendation Share™,The percentage of high-intent buying prompts in which a brand appears in AI recommendations.,https://atomfoundry.dev/vocabulary/recommendation-share
AI Visibility Risk™,The score zone below 50. Stores here are systematically excluded from AI shopping recommendations.,https://atomfoundry.dev/vocabulary/ai-invisible-risk
AI Commerce Graph™,"The complete network of relationships between brands, products, trust signals, buyer intents, and AI recommendation systems. The infrastructure Atom Foundry maps.",https://atomfoundry.dev/vocabulary/ai-commerce-graph
Recommendation Routing™,"How AI systems decide which brand receives which buyer query. Not whether you are in the graph, but how traffic flows through it to you.",https://atomfoundry.dev/vocabulary/recommendation-routing
Persistent Merchant Identity™,How consistently AI systems understand your brand across platforms and over time. High PMI means every AI system knows the same accurate story about you.,https://atomfoundry.dev/vocabulary/persistent-merchant-identity
AI Trust Layer™,The complete set of signals AI checks before considering a brand for recommendation. Trust verification happens before any scoring or matching.,https://atomfoundry.dev/vocabulary/ai-trust-layer
Semantic Commerce Layer™,The infrastructure of intent-aligned product language that bridges what a store sells and how buyers ask AI to find it.,https://atomfoundry.dev/vocabulary/semantic-commerce-layer
Machine-Readable Commerce™,"E-commerce infrastructure structured so AI systems can parse, verify, and act on product and store data without human assistance.",https://atomfoundry.dev/vocabulary/machine-readable-commerce
Recommendation Confidence™,"How strongly AI will recommend a store, from a weak mention to a confident first pick.",https://atomfoundry.dev/vocabulary/recommendation-confidence
Semantic Clarity™,"How clearly AI can understand what a store sells, who it serves, and why it is different.",https://atomfoundry.dev/vocabulary/semantic-clarity
AI Extractability™,How easily AI systems can pull structured answers from a store's content and pages.,https://atomfoundry.dev/vocabulary/ai-extractability
Prompt Visibility™,Whether and how often a brand appears when buyers query AI systems with purchase-intent prompts.,https://atomfoundry.dev/vocabulary/prompt-visibility
Recommendation Velocity™,The rate of change in a brand's AI Commerce Score and Recommendation Share over time.,https://atomfoundry.dev/vocabulary/recommendation-velocity
Recommendation Density™,"How broadly a brand appears across adjacent buying intents, not just its primary category queries.",https://atomfoundry.dev/vocabulary/recommendation-density
Hidden Authority™,A store with real authority but poor extractability. AI knows the brand but cannot pull answers to recommend it.,https://atomfoundry.dev/vocabulary/hidden-authority
Intent Misalignment™,A brand with authority and good structure whose content does not match how buyers actually query AI in that category.,https://atomfoundry.dev/vocabulary/intent-misalignment
AI Trust Graph™,"The network of external mentions, citations, reviews, and third-party validation that AI uses to verify and trust a brand.",https://atomfoundry.dev/vocabulary/ai-trust-graph
Recommendation Position™,"Where in an AI response a brand appears: first recommendation, supporting mention, comparison mention, or weak citation.",https://atomfoundry.dev/vocabulary/recommendation-position
Recommendation Graph™,"The relationship network connecting brands, products, trust signals, citations, and semantic relevance across AI systems.",https://atomfoundry.dev/vocabulary/recommendation-graph
AI Visibility™,"Whether and how clearly an e-commerce store can be discovered, interpreted, and surfaced by AI shopping systems.",https://atomfoundry.dev/vocabulary/ai-visibility
Agent-Readable Commerce™,"E-commerce infrastructure specifically structured for autonomous AI shopping agents that browse, compare, and complete purchases without human input.",https://atomfoundry.dev/vocabulary/agent-readable-commerce
AI Commerce Infrastructure™,"The machine-readable systems, trust layers, and semantic commerce architecture that enable AI-driven discovery and transactions at scale.",https://atomfoundry.dev/vocabulary/ai-commerce-infrastructure
Agentic Commerce™,"The model where AI agents autonomously browse, compare, evaluate, and complete purchases on behalf of buyers without requiring human input at each step.",https://atomfoundry.dev/vocabulary/agentic-commerce
AI Discoverability™,"How easily and reliably AI systems can find, index, and surface a store in response to relevant buyer queries.",https://atomfoundry.dev/vocabulary/ai-discoverability
Merchant Interpretability™,"How well AI systems can understand a merchant's identity, category, products, and positioning from available signals.",https://atomfoundry.dev/vocabulary/merchant-interpretability
AI Recommendation Eligibility™,Whether a store has met the minimum threshold of signals required to be considered for AI shopping recommendations at all.,https://atomfoundry.dev/vocabulary/ai-recommendation-eligibility
Commerce Knowledge Graph™,"The semantic knowledge structure AI systems build around merchant entities, product categories, buyer intents, and commerce relationships.",https://atomfoundry.dev/vocabulary/commerce-knowledge-graph
AI Visibility Layer™,"The complete stack of signals, structures, and systems that determine how visible a merchant is within AI commerce ecosystems.",https://atomfoundry.dev/vocabulary/ai-visibility-layer
