metric,dimension,value,numerator,denominator,unit,notes
total_calls,all,704,,,calls,480 grid calls + 224 persona calls
grid_calls,length_x_sentence_type,480,,,calls,15 cells x 4 brands x 8 repeats
persona_calls,writer_style_personas,224,,,calls,7 personas x 8 templates x 4 brands
winner_rate,L1_bare_keyword,99.0,,,percent,Final gpt-4o LLM judge; pooled across brands
winner_rate,L2_qualified_phrase,97.9,,,percent,Final gpt-4o LLM judge; pooled across brands
winner_rate,L3_best_X_phrase,84.4,,,percent,Weakest length cell; final gpt-4o LLM judge
winner_rate,L4_full_natural_question,100.0,,,percent,Ceiling; final gpt-4o LLM judge
winner_rate,L5_paragraph_context,91.7,,,percent,Final gpt-4o LLM judge; pooled across brands
keyword_gap_vs_full_question,L3_vs_L4,15.6,,,percentage_points,100.0% minus 84.4%; headline gap
winner_rate,declarative,98.8,,,percent,Final gpt-4o LLM judge
winner_rate,question,93.8,,,percent,Final gpt-4o LLM judge
winner_rate,imperative,91.2,,,percent,Final gpt-4o LLM judge
winner_rate,older_man,100.0,,,percent,Final gpt-4o LLM judge
winner_rate,voice_assistant,100.0,,,percent,Final gpt-4o LLM judge
winner_rate,young_woman,100.0,,,percent,Final gpt-4o LLM judge
winner_rate,older_woman,100.0,,,percent,Final gpt-4o LLM judge
winner_rate,neutral_baseline,93.8,,,percent,Final gpt-4o LLM judge
winner_rate,young_man,90.6,,,percent,Final gpt-4o LLM judge
winner_rate,google_style,84.4,,,percent,Weakest persona; final gpt-4o LLM judge
sentence_type_chi_square,sentence_type,9.11,,,chi_square,p=0.011
length_chi_square,length,32.29,,,chi_square,p=0.000002
persona_chi_square,persona,17.38,,,chi_square,p=0.008
judge_agreement,length_grid,90.1,,,percent,Final judge agreement with original heuristic
judge_agreement,personas,90.5,,,percent,Final judge agreement with original heuristic
rule_rescore_agreement,all,85.4,,,percent,Rule-based re-score agreement with original method
logistic_regression,length_effect,p<0.00000001,,,p_value,Likelihood-ratio test; controlling for brand
logistic_regression,persona_effect,0.003,,,p_value,Controlling for brand
candidacy_rate,nearly_all_cells_and_personas,97-100,,,percent_range,Brand mention rate; real signal is winner rate
