metric,dimension,value,numerator,denominator,unit,notes
"winner_rate","condition","22.0","22","100","percent","No-context control; reused published observations"
"winner_rate","condition","34.7","26","75","percent","User intent, brand-blind; corrected after targeted detection review"
"winner_rate","condition","61.3","46","75","percent","Passive brand exposure"
"winner_rate","condition","64.0","48","75","percent","Feature exposure using one real verified fact"
"winner_rate","condition","76.0","57","75","percent","Campaign-origin plus feature"
"winner_rate","condition","88.0","66","75","percent","Fabricated campaign/ad exposure; highest condition"
"delta_vs_control","user_intent","12.7","","","percentage_points","34.7% - 22.0%"
"delta_vs_control","brand_exposure","39.3","","","percentage_points","61.3% - 22.0%"
"delta_vs_control","feature_exposure","42.0","","","percentage_points","64.0% - 22.0%"
"delta_vs_control","brand_plus_feature","54.0","","","percentage_points","76.0% - 22.0%"
"delta_vs_control","campaign_origin","66.0","","","percentage_points","88.0% - 22.0%"
"brand_baseline_winner_rate","Brand A","10.0","1","10","percent","Published no-context baseline"
"brand_campaign_origin_winner_rate","Brand A","100.0","15","15","percent","Fabricated ad-exposure condition"
"brand_baseline_winner_rate","Brand B","0.0","0","15","percent","Published no-context baseline"
"brand_campaign_origin_winner_rate","Brand B","86.7","13","15","percent","Fabricated ad-exposure condition"
"brand_baseline_winner_rate","Brand C","0.0","0","15","percent","Published no-context baseline"
"brand_campaign_origin_winner_rate","Brand C","100.0","15","15","percent","Fabricated ad-exposure condition"
"brand_baseline_winner_rate","Brand D","0.0","0","15","percent","Published no-context baseline"
"brand_campaign_origin_winner_rate","Brand D","53.3","8","15","percent","Fabricated ad-exposure condition"
"brand_baseline_winner_rate","Brand E","100.0","15","15","percent","Published no-context baseline"
"brand_campaign_origin_winner_rate","Brand E","100.0","15","15","percent","Fabricated ad-exposure condition"
"baseline_interaction","candidacy_lift","-0.63","","","Pearson_r","Exploratory; n=5"
"baseline_interaction","winner_lift","-0.73","","","Pearson_r","Exploratory; n=5"
"integrity_check","winner_records_reviewed","244","244","244","records","Targeted review"
"integrity_check","winner_misclassifications","1","1","244","records","Corrected; did not change statistical conclusion"
